day,sales
01/12/2015,809
02/12/2015,782
03/12/2015,801
04/12/2015,849
05/12/2015,977
06/12/2015,1043
07/12/2015,1053
08/12/2015,1098
09/12/2015,1020
10/12/2015,1031
11/12/2015,975
12/12/2015,925
13/12/2015,1013
14/12/2015,961
15/12/2015,1076
16/12/2015,986
17/12/2015,845
18/12/2015,876
19/12/2015,978
20/12/2015,1023
21/12/2015,990
22/12/2015,934
23/12/2015,835
24/12/2015,557
25/12/2015,536
26/12/2015,616
27/12/2015,654
28/12/2015,721
29/12/2015,725
30/12/2015,632
31/12/2015,476
01/01/2016,579
02/01/2016,604
03/01/2016,617
04/01/2016,642
05/01/2016,601
06/01/2016,610
07/01/2016,744
08/01/2016,655
09/01/2016,768
10/01/2016,802
11/01/2016,711
12/01/2016,739
13/01/2016,766
14/01/2016,728
15/01/2016,628
16/01/2016,538
17/01/2016,577
18/01/2016,614
19/01/2016,625
20/01/2016,582
21/01/2016,578
22/01/2016,580
23/01/2016,626
24/01/2016,597
25/01/2016,575
26/01/2016,527
27/01/2016,557
28/01/2016,524
29/01/2016,533
30/01/2016,550
31/01/2016,613
01/02/2016,592
02/02/2016,604
03/02/2016,628
04/02/2016,576
05/02/2016,592
06/02/2016,490
07/02/2016,529
08/02/2016,600
09/02/2016,635
10/02/2016,561
11/02/2016,564
12/02/2016,609
13/02/2016,542
14/02/2016,667
15/02/2016,738
16/02/2016,654
17/02/2016,612
18/02/2016,639
19/02/2016,628
20/02/2016,565
21/02/2016,734
22/02/2016,640
23/02/2016,652
24/02/2016,684
25/02/2016,769
26/02/2016,647
27/02/2016,667
28/02/2016,746
29/02/2016,667
01/03/2016,700
02/03/2016,633
03/03/2016,587
04/03/2016,523
05/03/2016,539
06/03/2016,586
07/03/2016,685
08/03/2016,673
09/03/2016,712
10/03/2016,697
11/03/2016,564
12/03/2016,563
13/03/2016,604
14/03/2016,644
15/03/2016,628
16/03/2016,655
17/03/2016,584
18/03/2016,600
19/03/2016,476
20/03/2016,497
21/03/2016,558
22/03/2016,590
23/03/2016,617
24/03/2016,608
25/03/2016,498
26/03/2016,580
27/03/2016,546
28/03/2016,501
29/03/2016,568
30/03/2016,549
31/03/2016,679
01/04/2016,609
02/04/2016,589
03/04/2016,564
04/04/2016,738
05/04/2016,656
06/04/2016,674
07/04/2016,724
08/04/2016,746
09/04/2016,645
10/04/2016,554
11/04/2016,655
12/04/2016,631
13/04/2016,678
14/04/2016,630
15/04/2016,606
16/04/2016,494
17/04/2016,629
18/04/2016,652
19/04/2016,616
20/04/2016,710
21/04/2016,691
22/04/2016,676
23/04/2016,552
24/04/2016,621
25/04/2016,621
26/04/2016,668
27/04/2016,676
28/04/2016,649
29/04/2016,572
30/04/2016,495
01/05/2016,587
02/05/2016,585
03/05/2016,619
04/05/2016,602
05/05/2016,650
06/05/2016,544
07/05/2016,537
08/05/2016,591
09/05/2016,599
10/05/2016,673
11/05/2016,674
12/05/2016,588
13/05/2016,561
14/05/2016,660
15/05/2016,598
16/05/2016,703
17/05/2016,727
18/05/2016,702
19/05/2016,676
20/05/2016,584
21/05/2016,513
22/05/2016,568
23/05/2016,698
24/05/2016,690
25/05/2016,602
26/05/2016,672
27/05/2016,593
28/05/2016,501
29/05/2016,574
30/05/2016,562
31/05/2016,608
01/06/2016,612
02/06/2016,622
03/06/2016,529
04/06/2016,546
05/06/2016,519
06/06/2016,564
07/06/2016,626
08/06/2016,697
09/06/2016,628
10/06/2016,614
11/06/2016,450
12/06/2016,573
13/06/2016,645
14/06/2016,631
15/06/2016,616
16/06/2016,643
17/06/2016,600
18/06/2016,535
19/06/2016,601
20/06/2016,647
21/06/2016,636
22/06/2016,727
23/06/2016,665
24/06/2016,574
25/06/2016,507
26/06/2016,598
27/06/2016,658
28/06/2016,674
29/06/2016,736
30/06/2016,658
01/07/2016,612
02/07/2016,510
03/07/2016,589
04/07/2016,600
05/07/2016,556
06/07/2016,561
07/07/2016,554
08/07/2016,534
09/07/2016,459
10/07/2016,480
11/07/2016,638
12/07/2016,650
13/07/2016,598
14/07/2016,602
15/07/2016,579
16/07/2016,470
17/07/2016,508
18/07/2016,642
19/07/2016,586
20/07/2016,685
21/07/2016,555
22/07/2016,602
23/07/2016,506
24/07/2016,523
25/07/2016,599
26/07/2016,635
27/07/2016,696
28/07/2016,648
29/07/2016,600
30/07/2016,473
31/07/2016,556
01/08/2016,630
02/08/2016,658
03/08/2016,718
04/08/2016,619
05/08/2016,596
06/08/2016,499
07/08/2016,555
08/08/2016,723
09/08/2016,666
10/08/2016,679
11/08/2016,729
12/08/2016,633
13/08/2016,476
14/08/2016,554
15/08/2016,646
16/08/2016,677
17/08/2016,699
18/08/2016,746
19/08/2016,604
20/08/2016,548
21/08/2016,607
22/08/2016,921
23/08/2016,990
24/08/2016,744
25/08/2016,928
26/08/2016,687
27/08/2016,600
28/08/2016,729
29/08/2016,781
30/08/2016,759
31/08/2016,849
