day,sales
02/01/2019,1468
03/01/2019,1402
04/01/2019,1461
05/01/2019,1314
06/01/2019,1350
07/01/2019,1504
08/01/2019,1639
09/01/2019,1517
10/01/2019,1560
11/01/2019,1516
12/01/2019,1389
13/01/2019,1654
14/01/2019,1638
15/01/2019,1770
16/01/2019,1625
17/01/2019,1580
18/01/2019,1413
19/01/2019,1247
20/01/2019,1395
21/01/2019,1799
22/01/2019,1547
23/01/2019,1747
24/01/2019,1657
25/01/2019,1389
26/01/2019,1381
27/01/2019,1601
28/01/2019,1703
29/01/2019,1799
30/01/2019,1767
31/01/2019,1852
01/02/2019,1755
02/02/2019,1660
03/02/2019,2039
04/02/2019,1979
05/02/2019,1871
06/02/2019,1899
07/02/2019,1858
08/02/2019,1705
09/02/2019,1668
10/02/2019,1684
11/02/2019,1861
12/02/2019,2164
13/02/2019,1954
14/02/2019,1894
15/02/2019,1656
16/02/2019,1553
17/02/2019,2060
18/02/2019,2269
19/02/2019,2064
20/02/2019,2300
21/02/2019,1913
22/02/2019,1927
23/02/2019,1819
24/02/2019,2011
25/02/2019,2225
26/02/2019,2226
27/02/2019,2197
28/02/2019,2172
01/03/2019,1937
02/03/2019,1861
03/03/2019,2066
04/03/2019,2130
05/03/2019,2264
06/03/2019,2426
07/03/2019,2283
08/03/2019,2115
09/03/2019,1981
